"CD_A,C,2","PER,C,4","ENT,C,2","CON,C,5","V_SEL,C,1","N_HOG,C,1","N_REN,C,2","S4P23_1,C,1","S4P23_2,C,1","S4P23_3,C,1","S4P23_4,C,1","S4P23_5,C,1","S4P23_6,C,1","S4P23_7,C,1","S4P23_8,C,1","S4P23_9,C,1","S4P23_10,C,1","S4P23_11,C,1","S4P23_12,C,1","S4P24_1,C,1","S4P24_2,C,1","S4P24_3,C,1","S4P24_4,C,1","S4P24_5,C,1","S4P24_6,C,1","S4P24_7,C,1","S4P24_8,C,1","S4P24_9,C,1","S4P24_10,C,1","S4P24_11,C,1","S4P25_1,C,1","S4P25_2,C,1","S4P25_3,C,1","S4P25_4,C,1","S4P25_5,C,1","S4P25_6,C,1","S4P25_7,C,1","S4P26_1,C,1","S4P26_2,C,1","S4P26_3,C,1","S4P26_4,C,1","S4P26_5,C,1","S4P26_6,C,1","S4P26_7,C,1","S4P26_8,C,1","S4P26_9,C,1","S4P26_10,C,1","S4P26_11,C,1","S4P27_1,C,1","S4P27_2,C,1","S4P27_3,C,1","S4P27_4,C,1","S4P27_5,C,1","S4P28_1,C,1","S4P28_2,C,1","S4P28_3,C,1","S4P28_4,C,1","S4P28_5,C,1","S4P28_6,C,1","S4P29,C,1","S4P29_ES,C,50","S4P29_1,C,1","S4P29_1_ES,C,50","S4P29_2,C,1","S4P29_3,C,1","S4P29_4,C,1","S4P29_5,C,1","S4P29_6,C,1","S4P30_1,C,1","S4P30_2,C,1","S4P30_3,C,1","S4P30_4,C,1","S4P30_5,C,1","S4P30_6,C,1","S4P30_7,C,1","S4P30_8,C,1","S4P31_1,C,1","S4P31_2,C,1","S4P31_3,C,1","S4P32,C,1","S4P32_1,C,1","S4P32_2,C,1","S4P33_1,C,1","S4P33_2_1,C,1","S4P33_2_2,C,1","S4P33_2_3,C,1","S4P33_2_4,C,1","S4P33_2_5,C,1","S4P33_2_6,C,1","S4P33_2_7,C,1","S4P34,C,1","S4P34_1,C,1","S4P35,C,1","S5P1,C,1","S5P2_1,C,1","S5P2_2,C,1","S5P2_3,C,1","S5P2_4,C,1","S5P2_5,C,1","S5P2_6,C,1","S5P2_ESP,C,50","S5P3,C,1","S5P4_1,C,1","S5P4_2,C,1","S5P4_3,C,1","S5P4_4,C,1","S5P4_5,C,1","S5P4_6,C,1","S5P4_7,C,1","S5P4_8,C,1","S5P4_9,C,1","S5P4_ES,C,50","S5P5,C,1","S5P6_1,C,1","S5P6_2,C,1","S5P6_3,C,1","S5P6_4,C,1","S5P6_5,C,1","S5P6_6,C,1","S5P6_7,C,1","S5P6_8,C,1","S5P6_9,C,1","S5P6_10,C,1","S5P6_11,C,1","S5P6_12,C,1","S5P6_13,C,1","S5P7,C,1","S5P8,C,1","S5P9,C,1","S5P10_1,C,1","S5P10_2,C,1","S5P10_3,C,1","S5P10_4,C,1","S5P10_5,C,1","S5P10_6,C,1","S6P1,C,1","S6P2,C,1","S6P3_1,C,1","S6P3_2,C,1","S6P3_3,C,1","S6P3_4,C,1","S6P3_5,C,1","S6P3_6,C,1","S6P3_7,C,1","S6P3_8,C,1","S6P3_9,C,1","S6P3_10,C,1","OBS_GEN,C,254","FAC,N,6,0"
16,0813,15,41205,2,1,02,2,2,2,5,2,5,5,5,2,3,3,5,5,5,3,5,2,2,3,2,5,2,2,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,3,1,,1,,4,2,,2,3,4,1,1,4,1,1,1,4,2,2,2,1,2,1,3,3,2,2,2,5,2,2,2,,3,1,1,0,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,9986
16,0813,15,41205,5,1,01,2,2,2,2,2,3,2,3,3,3,3,5,3,5,2,2,2,2,3,3,5,5,3,2,3,2,2,3,2,3,3,2,2,5,2,2,5,2,3,2,5,5,3,3,3,2,2,2,2,3,5,5,1,,1,,3,2,,2,3,4,2,1,4,1,1,1,4,1,1,1,2,,,3,2,2,2,5,5,3,2,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,24966
16,0813,15,41205,1,1,03,5,2,2,5,3,5,5,2,2,3,3,3,3,5,5,3,3,2,3,3,5,5,3,2,3,3,3,3,3,3,3,2,3,2,2,2,5,2,5,2,2,5,3,2,2,2,2,2,2,5,2,2,1,,1,,3,2,,2,3,4,1,1,4,1,4,1,4,1,1,1,2,,,2,2,2,2,5,5,3,2,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,20046
16,0813,15,41205,4,2,01,2,2,2,3,3,3,2,2,3,2,2,2,2,2,2,2,3,3,2,3,5,5,5,2,2,2,2,3,3,3,3,3,2,2,2,2,3,3,5,2,5,5,5,5,3,5,2,2,2,5,5,5,1,,1,,1,2,,2,3,1,1,1,1,1,1,1,1,1,1,1,2,,,2,2,2,2,5,5,3,2,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,10023
16,0813,15,41232,4,1,01,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,3,2,2,3,3,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2,3,2,1,2,1,1,1,1,2,1,2,,2,,2,1,4,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,3,1,2,2,2,2,2,2,,1,1,0,0,0,0,1,0,,1,1,1,1,2,1,1,1,2,2,,1,1,1,1,1,1,1,2,2,2,2,2,1,1,3,1,1,1,2,2,1,1,2,2,,,,,,,,,,,,,5438
16,0813,15,41232,3,1,03,2,2,2,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,3,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,2,2,2,2,1,,2,,1,2,,2,1,4,1,1,1,1,1,1,1,1,1,1,1,2,1,3,3,2,2,3,5,2,2,1,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,34031
16,0813,15,41232,5,1,01,2,2,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,3,2,2,3,2,2,1,2,2,1,1,1,1,1,2,1,1,1,1,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,,2,,3,2,,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,2,3,3,5,3,2,1,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,5438
16,0813,15,41232,1,1,02,2,2,2,3,2,3,3,3,3,3,3,5,5,5,2,2,5,2,3,2,5,5,5,2,2,2,2,3,2,3,2,2,2,2,2,2,5,2,3,2,5,5,3,3,3,2,2,2,2,2,2,5,1,,1,,1,2,,2,1,4,1,1,4,4,1,1,1,1,1,1,2,,,2,2,2,2,3,5,2,2,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,11344
16,0813,15,41232,2,1,02,2,2,2,2,2,3,3,3,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,2,3,2,2,2,2,2,2,3,2,3,2,2,3,3,3,3,2,2,2,2,2,3,2,2,,2,,2,2,,2,2,1,1,1,1,1,1,1,1,3,3,3,1,1,1,1,2,2,3,2,3,3,2,1,3,1,1,0,0,0,0,1,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,11344
16,0813,15,41237,1,1,01,2,2,2,2,2,3,3,4,3,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,2,3,2,2,2,2,2,2,3,2,3,2,2,3,3,3,3,2,2,2,2,2,3,2,2,,1,,2,2,,1,2,1,1,1,1,1,1,1,1,2,2,3,1,1,1,1,2,2,3,3,2,2,2,1,3,1,1,0,0,0,0,1,1,familiares,1,1,1,1,2,1,1,1,2,2,,2,1,1,2,2,2,2,2,1,2,2,1,2,1,4,3,3,1,3,1,2,3,3,2,,,,,,,,,,,,,10350
16,0813,15,41237,4,1,01,2,2,3,3,5,5,5,3,3,3,3,5,2,3,3,3,3,2,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,2,2,2,2,2,2,3,2,2,2,2,1,,1,,1,2,,2,1,4,1,1,4,1,1,1,4,1,1,1,2,,,3,2,2,2,2,5,5,2,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,41398
16,0813,15,41237,2,1,01,2,2,2,2,2,3,2,2,2,3,3,5,2,3,2,2,2,2,2,2,5,2,2,2,3,3,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,5,2,3,3,1,2,3,3,2,2,2,1,,1,,3,2,,2,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,2,3,3,2,3,2,2,,1,1,1,0,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,10350
16,0813,15,41237,3,1,06,2,2,2,2,2,3,2,3,3,3,3,5,2,2,3,3,2,3,3,2,5,2,2,2,2,3,2,3,2,3,2,2,5,2,2,2,2,2,5,2,5,5,3,3,3,2,3,3,3,2,3,2,1,,1,,2,2,,2,2,1,1,1,1,1,1,1,4,1,1,1,1,2,1,3,2,2,2,2,3,2,2,2,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,30935
16,0813,15,41237,5,1,01,2,2,2,2,2,3,2,2,3,3,3,3,2,2,2,2,2,2,2,2,5,2,3,2,2,3,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,2,2,2,3,2,3,2,1,,1,,2,2,,2,2,3,1,1,4,1,1,1,2,2,2,3,1,2,1,3,2,2,2,2,2,2,2,2,,3,1,1,0,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,10350
16,0813,15,41330,4,2,02,2,2,2,2,2,3,3,3,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,3,2,2,,2,,2,2,,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,3,2,2,2,2,3,3,2,2,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,25883
16,0813,15,41330,5,1,02,3,2,3,2,3,2,2,2,2,3,4,3,2,2,2,2,2,2,2,2,2,3,3,2,3,4,2,4,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,,2,,3,2,,2,3,4,2,1,4,1,1,1,1,1,1,1,1,2,1,3,3,2,2,2,2,2,2,2,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,17255
16,0813,15,41330,1,1,04,2,2,2,2,2,3,3,3,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,,2,,2,2,,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,3,3,3,3,2,1,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,34511
16,0813,15,41330,4,3,02,2,2,2,1,2,3,2,3,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2,2,,2,,2,2,,2,2,1,1,1,1,1,1,1,1,2,2,3,1,1,1,3,2,2,3,3,3,2,2,2,,1,1,0,0,0,0,1,0,,1,1,1,1,2,1,1,1,2,2,,2,2,2,2,1,2,2,2,1,2,2,2,1,1,5,2,3,1,3,2,3,3,2,2,,,,,,,,,,,,,17255
16,0813,15,41330,4,1,01,2,2,5,5,2,3,5,2,2,5,3,5,5,5,2,5,2,2,3,2,5,5,5,2,2,3,2,3,2,3,2,2,2,2,2,2,5,5,3,2,5,5,3,2,3,2,2,2,2,5,5,5,1,,2,,2,2,,2,1,4,1,1,4,1,1,1,4,1,1,1,2,,,2,2,2,2,2,5,3,2,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,8628
16,0813,15,41330,3,1,01,2,2,2,3,2,3,5,3,2,3,3,5,5,5,2,2,2,2,3,2,5,5,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,1,,2,,1,2,,2,1,4,2,1,4,1,1,1,1,1,1,1,2,,,3,2,2,2,2,5,2,2,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,17319
16,0813,15,41330,2,1,01,2,3,2,2,3,2,3,2,2,3,3,3,3,3,2,2,2,2,3,2,5,5,2,2,3,3,2,3,2,2,2,2,2,2,2,2,3,3,3,3,3,2,2,3,2,2,2,3,2,2,2,2,1,,2,,1,2,,2,1,4,1,1,4,1,1,1,1,1,1,1,2,,,3,3,3,2,2,2,2,2,2,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,43297
16,0813,15,41332,4,1,01,2,2,2,2,2,2,2,4,4,2,4,1,5,2,2,2,2,4,4,3,5,2,2,5,4,2,1,2,1,3,2,2,2,2,2,2,1,5,5,1,1,4,2,3,3,1,2,1,4,2,2,2,1,,1,,3,2,,2,3,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,2,3,1,1,1,1,1,2,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,8941
16,0813,15,41332,1,1,02,2,2,3,2,2,3,2,2,2,3,3,2,2,2,2,2,2,2,3,2,2,2,5,2,2,2,2,3,2,2,2,2,2,2,2,2,2,5,3,1,2,2,2,3,3,3,2,2,2,3,2,3,1,,3,aveces aburrida y aveces interesante segun el tema,3,2,,2,1,2,1,1,4,1,1,1,1,4,4,4,1,2,1,2,3,2,2,3,3,5,2,2,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,8908
16,0813,15,41332,5,1,01,2,2,3,3,3,2,2,3,3,3,3,2,5,2,1,3,3,3,3,3,2,2,5,2,3,3,2,1,2,3,2,1,5,2,2,2,2,2,3,2,2,3,2,2,3,2,2,3,2,2,3,2,1,,1,,2,2,,2,2,3,2,1,3,2,2,1,4,3,2,3,1,2,2,4,2,1,4,2,3,3,2,2,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,4454
16,0813,15,41332,3,1,01,2,2,2,2,2,2,2,4,2,2,4,3,2,2,2,2,5,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,1,2,2,1,5,4,2,2,2,1,3,3,5,2,1,1,3,2,2,1,,2,,4,2,,2,1,2,1,1,2,1,1,1,1,3,3,3,1,2,2,3,2,3,1,3,3,3,1,1,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,4454
16,0813,15,41332,2,1,02,2,2,2,3,2,2,2,3,5,5,2,1,2,5,2,2,2,3,2,2,2,2,2,1,3,1,1,2,1,1,5,2,2,1,2,2,1,5,2,2,1,5,2,3,3,1,2,2,2,1,2,5,1,,1,,3,2,,2,3,1,1,1,1,1,1,1,1,1,1,1,2,,,3,2,2,1,1,1,1,2,2,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,13362
16,0813,15,41362,1,1,01,2,2,2,2,2,3,2,3,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,,2,,2,2,,1,2,1,1,1,1,1,1,1,1,3,3,3,1,1,1,1,2,2,2,2,3,3,2,2,,1,1,0,0,0,0,1,0,,1,1,1,1,2,1,1,1,2,2,,2,1,1,2,1,2,2,2,1,2,2,1,2,1,3,2,3,1,2,2,2,2,2,1,2,,,,,,,,,,,,11413
16,0813,15,41362,3,1,01,2,2,2,2,2,3,2,3,3,3,3,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,3,2,2,,2,,2,2,,2,1,2,2,1,2,2,2,1,2,1,1,1,1,2,1,3,2,2,2,2,3,3,2,1,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,11413
16,0813,15,41362,2,1,02,2,2,2,2,2,3,3,3,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,2,3,2,2,2,2,2,2,3,2,3,2,2,2,2,3,3,2,2,2,2,2,3,2,1,,2,,2,2,,2,2,4,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,3,3,3,3,3,2,1,2,1,1,0,0,1,0,0,0,,1,1,1,1,1,1,1,3,3,2,,2,2,2,2,1,2,2,2,2,2,2,2,2,1,5,2,3,2,6,2,2,6,3,2,,,,,,,,,,,,,7640
16,0813,15,41362,4,1,03,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,2,,2,2,,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,2,2,2,2,2,2,,3,1,0,0,0,0,1,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,15218
16,0813,15,41362,5,1,02,2,2,2,2,3,2,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,3,3,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,2,,2,2,,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,3,2,3,2,2,2,2,2,2,,3,1,1,0,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,7640
16,0813,15,41363,4,1,04,2,2,2,2,2,5,5,2,2,5,1,3,2,2,2,2,1,1,1,1,2,2,2,2,3,2,2,1,2,5,2,3,2,5,3,2,3,3,3,2,2,5,2,4,4,3,2,2,3,3,3,2,1,,3,EN TERMINO MEDIO SOLO LO QUE ME INTERESA,5,2,,2,1,2,2,2,2,2,1,1,4,1,3,2,1,1,1,1,1,3,3,3,3,3,2,2,,1,1,1,0,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,22174
16,0813,15,41363,1,1,01,1,1,2,2,2,3,2,2,2,3,3,3,2,1,1,1,2,3,2,2,2,2,3,2,4,1,2,2,1,3,1,1,1,1,2,2,3,2,4,2,3,3,2,3,3,3,2,2,1,3,1,3,1,,1,,1,2,,2,1,3,1,1,1,1,1,1,4,1,1,1,1,2,1,2,3,2,3,3,3,3,3,2,,2,1,1,1,0,0,0,0,,1,1,1,2,3,3,1,1,3,2,,3,2,2,2,2,2,2,2,2,2,2,2,2,2,7,2,3,2,2,2,2,2,2,2,,,,,,,,,,,,,11087
16,0813,15,41363,3,1,01,1,1,1,1,2,3,2,5,2,3,2,2,1,1,1,1,2,2,2,1,1,2,3,2,2,2,2,2,1,1,1,1,1,4,1,1,5,2,4,1,1,1,1,4,3,3,1,1,1,5,1,1,2,,2,,3,2,,2,1,2,1,1,4,1,1,1,1,1,1,1,1,2,2,1,2,3,3,3,5,5,1,2,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,11087
16,0813,15,41363,5,1,01,3,3,3,3,3,2,3,4,3,3,4,1,1,2,3,3,3,3,3,3,3,3,3,2,2,2,2,3,2,4,2,2,4,4,5,5,5,5,2,2,5,5,2,4,4,2,2,2,3,2,2,3,1,,2,,3,2,,2,1,4,2,2,2,2,2,2,4,1,1,1,1,1,1,3,3,3,3,2,1,3,1,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,33261
16,0813,15,41366,5,1,02,1,1,2,1,2,5,2,2,2,2,2,5,2,2,2,2,2,2,4,2,2,2,2,2,3,1,2,2,2,4,2,2,2,1,1,1,5,5,3,1,1,2,2,2,3,3,1,1,1,3,2,2,1,,2,,4,2,,2,1,1,1,1,1,1,1,1,1,5,3,3,1,2,1,4,3,2,3,2,5,3,2,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,10631
16,0813,15,41366,4,1,01,2,1,2,2,2,3,2,3,5,3,3,3,2,1,2,2,2,3,5,2,2,2,5,2,3,3,2,2,2,2,2,2,2,2,2,2,3,1,3,2,2,2,2,3,4,3,2,2,2,3,3,2,1,,2,,3,2,,2,1,1,1,1,4,1,1,1,4,1,1,3,1,2,1,3,3,2,3,2,1,3,2,2,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,16005
16,0813,15,41366,3,1,02,3,2,3,2,3,2,5,3,3,3,4,2,2,2,3,3,3,3,5,2,2,2,1,1,3,2,2,2,2,2,3,2,2,2,2,5,1,4,4,2,1,3,1,4,4,5,2,2,2,2,2,3,1,,3,SEGUN EL TEMA SI ME INTERESA TERMINO MEDIO,3,2,,2,5,3,1,1,4,1,2,2,4,2,2,1,1,2,1,1,1,1,2,1,1,1,1,2,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,10631
16,0813,15,41366,1,1,02,1,1,2,1,4,4,5,3,4,4,4,2,2,2,2,5,5,5,4,2,2,3,2,2,2,3,2,2,2,2,4,2,5,5,2,2,5,2,2,1,2,5,2,2,2,3,2,2,2,3,2,3,1,,2,,3,2,,2,2,3,2,1,1,1,1,1,1,4,1,1,2,,,3,2,2,1,3,2,1,2,2,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,10631
16,0813,15,41367,5,1,02,2,2,5,2,2,2,2,2,3,2,3,3,3,3,3,3,3,3,5,5,3,3,3,2,3,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,1,,3,2,,2,3,2,2,1,2,2,1,1,2,1,1,1,2,,,2,2,2,2,2,2,2,2,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,6496
16,0813,15,41367,3,1,01,2,2,2,2,2,3,2,3,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,2,3,2,2,2,2,2,2,3,2,3,2,2,2,2,3,3,2,2,2,2,2,3,2,1,,2,,2,2,,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,3,2,2,2,3,2,2,1,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,9780
16,0813,15,41367,2,1,01,2,2,2,2,3,2,3,3,3,2,3,3,3,3,2,2,2,2,2,2,3,3,2,2,2,3,2,3,2,2,2,2,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,3,1,,1,,1,2,,2,2,4,1,1,4,1,1,1,1,2,1,1,2,,,2,2,2,2,2,3,2,2,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,6520
16,0813,15,41367,3,2,01,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,,1,,3,2,,2,3,2,2,1,2,1,1,1,1,2,2,2,1,1,1,3,2,2,2,2,2,2,2,2,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,3248
16,0813,15,41397,3,1,01,1,4,2,3,2,3,2,3,3,3,3,2,2,2,2,2,3,3,3,2,3,3,1,2,3,4,2,3,3,3,1,1,1,1,1,1,3,1,4,1,1,3,1,4,4,3,1,1,2,3,3,3,2,,2,,1,1,4,2,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,3,3,2,4,2,3,3,2,2,,2,1,1,1,1,0,1,0,,1,1,1,1,2,1,1,1,1,2,,2,1,2,2,1,1,1,1,1,1,2,2,1,1,5,3,1,2,3,3,2,3,3,2,,,,,,,,,,,,,15542
16,0813,15,41397,5,1,01,2,2,3,2,2,1,5,4,3,3,4,1,5,5,1,1,2,3,3,2,2,5,2,2,2,1,2,2,2,2,2,2,2,1,2,2,5,3,5,1,2,2,2,2,1,2,2,1,3,5,2,5,1,,1,,4,2,,2,3,4,2,1,4,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,3,1,1,2,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,5181
16,0813,15,41397,1,1,02,1,1,1,1,1,4,2,2,2,1,3,3,2,2,2,1,1,4,2,2,1,1,2,1,4,2,2,2,2,2,1,1,1,1,1,2,4,3,3,1,3,2,1,3,3,3,1,1,2,5,5,1,2,,2,,1,2,,2,1,1,1,1,1,1,1,1,1,5,5,5,1,2,2,3,5,1,5,2,2,3,1,2,,3,1,0,1,1,0,0,0,,1,1,1,1,3,1,1,1,2,2,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,7,5,3,6,6,6,6,6,6,2,,,,,,,,,,,,,10361
16,0813,15,41397,4,1,01,1,3,3,3,4,2,5,3,4,3,3,5,1,2,1,2,3,3,3,2,5,2,2,1,4,5,2,2,1,1,2,1,1,1,1,1,2,2,5,1,3,3,2,4,4,5,2,2,5,1,1,2,1,,1,,3,2,,2,5,1,1,1,1,1,1,1,4,1,1,3,1,2,1,3,2,1,2,1,5,5,2,2,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,15542
15,0813,16,40013,1,1,02,2,2,3,2,3,2,2,3,2,3,3,3,3,3,2,2,2,3,3,2,2,2,2,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2,3,2,2,3,2,3,3,2,3,2,2,2,2,2,1,,2,,2,2,,2,2,1,1,1,1,1,1,1,1,3,3,1,1,2,1,3,3,2,2,2,3,2,2,2,,2,1,1,0,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,9553
